"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"27","sp|P00549|KPYK1_YEAST","C2-C1",0.0247945113228499,0.0381934700780879,0.649181948436648,8,0.534410264709008,0.998854163492268,NA,0,0
"28","sp|P00560|PGK_YEAST","C2-C1",0.0557228840459835,0.061586048430049,0.90479719784709,8,0.392005672828307,0.998854163492268,NA,0,0
"29","sp|P00572|KTHY_YEAST","C2-C1",-0.212761850640054,0.178673680816186,-1.19078450540758,8,0.267869149935727,0.998854163492268,NA,0,0
"30","sp|P00635|PPA5_YEAST","C2-C1",-0.143999187509017,0.0664351350725474,-2.16751553755056,8,0.0620583431883168,0.998854163492268,NA,0,0
"31","sp|P00724|INV2_YEAST","C2-C1",0.0223002164488574,0.0447761013606855,0.498038368039732,8,0.631857720651951,0.998854163492268,NA,0,0
"32","sp|P00729|CBPY_YEAST","C2-C1",-0.0253001175758123,0.0564445412852928,-0.448229660472137,8,0.665878101786466,0.998854163492268,NA,0,0
"33","sp|P00761|TRYP_PIG","C2-C1",0.124609459854119,0.0731698840708408,1.70301567969516,8,0.126971907604593,0.998854163492268,NA,0,0
"34","sp|P00812|ARGI_YEAST","C2-C1",-0.186945985477647,0.107582799644987,-1.73769400029142,8,0.120465797519734,0.998854163492268,NA,0,0
"35","sp|P00815|HIS2_YEAST","C2-C1",0.0184013074353522,0.0324600966123047,0.566890100640575,8,0.586338162130394,0.998854163492268,NA,0,0
"36","sp|P00817|IPYR_YEAST","C2-C1",0.0499592637618209,0.044176560668672,1.13089980309965,8,0.290858117147058,0.998854163492268,NA,0,0
"37","sp|P00830|ATPB_YEAST","C2-C1",0.0113734635091144,0.0406360234428202,0.279886232596511,8,0.786665361346743,0.998854163492268,NA,0,0
"38","sp|P00890|CISY1_YEAST","C2-C1",0.0209996636240597,0.0372505984076281,0.56374030275335,8,0.588380530024861,0.998854163492268,NA,0,0
"39","sp|P00899|TRPE_YEAST","C2-C1",-0.00293009932375594,0.0578436013133481,-0.0506555480161602,8,0.960841937254532,0.998854163492268,NA,0,0
"40","sp|P00924|ENO1_YEAST","C2-C1",0.0742743724057756,0.0168807686433386,4.39994019082095,8,0.00228693810441705,0.588620961742606,NA,0,0
"41","sp|P00925|ENO2_YEAST","C2-C1",0.0829775130438701,0.0547132831138019,1.5165880810201,8,0.167843213533548,0.998854163492268,NA,0,0
"42","sp|P00927|THDH_YEAST","C2-C1",0.00592230588511561,0.0596025725288434,0.0993632595681946,8,0.923294620158056,0.998854163492268,NA,0,0
"43","sp|P00931|TRP_YEAST","C2-C1",-0.0154710713120262,0.0260104629549627,-0.594801843351057,8,0.56841342245658,0.998854163492268,NA,0,0
"44","sp|P00937|TRPG_YEAST","C2-C1",-0.0213844240747776,0.088238749825061,-0.242347314724807,8,0.814608383673923,0.998854163492268,NA,0,0
"45","sp|P00942|TPIS_YEAST","C2-C1",0.0650929708913229,0.083820523608192,0.776575569911629,8,0.459751578622644,0.998854163492268,NA,0,0
"46","sp|P00950|PMG1_YEAST","C2-C1",0.0454233449830983,0.0469404914578267,0.967679365349393,8,0.361544643534144,0.998854163492268,NA,0.00694444444444442,0
"47","sp|P00958|SYMC_YEAST","C2-C1",-0.0322219944967879,0.0366018222192466,-0.880338533523733,8,0.404345432773059,0.998854163492268,NA,0,0
"48","sp|P01094|IPA3_YEAST","C2-C1",0.105972635803499,0.800866556032473,0.132322463717916,8,0.897996830000531,0.998854163492268,NA,0,0
"49","sp|P01097|ATIF_YEAST","C2-C1",-0.406810913838118,0.250257193657981,-1.62557130882757,8,0.142694208470749,0.998854163492268,NA,0,0
"50","sp|P01119|RAS1_YEAST","C2-C1",-0.232564394845442,0.142239531260928,-1.63501941256274,8,0.140684470457566,0.998854163492268,NA,0,0
"51","sp|P01120|RAS2_YEAST","C2-C1",-0.057086680652535,0.108674664243618,-0.525298891419281,8,0.613618953630219,0.998854163492268,NA,0,0
"52","sp|P01123|YPT1_YEAST","C2-C1",-0.2027690019768,0.135382992992437,-1.49774353111049,8,0.172576253254521,0.998854163492268,NA,0,0
"53","sp|P02309|H4_YEAST","C2-C1",0.00860093253394546,0.0692566183583933,0.124189322808642,8,0.904229091964514,0.998854163492268,NA,0,0
"54","sp|P02381|RMAR_YEAST","C2-C1",-0.144127880682327,0.190916094302933,-0.754927871369686,8,0.471929496398706,0.998854163492268,NA,0,0
"55","sp|P02400|RLA4_YEAST","C2-C1",0.0920922749941754,0.136586018636166,0.674243790936523,8,0.519160277634803,0.998854163492268,NA,0,0
"56","sp|P02406|RL28_YEAST","C2-C1",-0.103903200718772,0.0599565273354554,-1.73297562978316,8,0.121332383397055,0.998854163492268,NA,0,0
"57","sp|P02557|TBB_YEAST","C2-C1",0.0161089200443837,0.0256429518395514,0.628200690200474,8,0.547383116589529,0.998854163492268,NA,0,0
"58","sp|P02829|HSP82_YEAST","C2-C1",-0.0666576276590525,0.107033622598538,-0.622772788968115,8,0.550769401551927,0.998854163492268,NA,0,0
"59","sp|P02992|EFTU_YEAST","C2-C1",-0.030543617565485,0.0445422432036367,-0.685722482045791,8,0.512266080619144,0.998854163492268,NA,0,0
"60","sp|P02994|EF1A_YEAST","C2-C1",0.0627958604745487,0.0520066421389492,1.20745846860817,8,0.261739826974668,0.998854163492268,NA,0,0
"61","sp|P03871|REP1_YEAST","C2-C1",-0.0954441812467465,0.105129482240772,-0.907872646306351,8,0.390473569260523,0.998854163492268,NA,0,0
"62","sp|P03872|REP2_YEAST","C2-C1",-0.00792753048275199,0.0979970080564454,-0.0808956379381073,8,0.937512136432934,0.998854163492268,NA,0,0
"63","sp|P03874|CBP2_YEAST","C2-C1",0.074571691973043,0.12777958245325,0.583596303426066,8,0.575571826178394,0.998854163492268,NA,0,0
"64","sp|P03965|CARB_YEAST","C2-C1",0.0201184330888849,0.039061428520526,0.515046014723017,8,0.62044612358817,0.998854163492268,NA,0,0
"65","sp|P04037|COX4_YEAST","C2-C1",-0.0261793126986835,0.114022589978419,-0.229597597315045,8,0.824165896215103,0.998854163492268,NA,0,0
"66","sp|P04046|PUR1_YEAST","C2-C1",0.0542130301408842,0.0592764588183214,0.914579433752001,8,0.387147542516473,0.998854163492268,NA,0,0
"67","sp|P04050|RPB1_YEAST","C2-C1",0.000796122140078892,0.0511380708696636,0.0155680909846596,8,0.987960216043703,0.998854163492268,NA,0,0
"68","sp|P04051|RPC1_YEAST","C2-C1",-0.063186192412478,0.0465284580091347,-1.35801174412599,8,0.211518292904227,0.998854163492268,NA,0,0
"69","sp|P04076|ARLY_YEAST","C2-C1",-0.0338127339903978,0.0622481735081085,-0.54319238758055,8,0.601799856422945,0.998854163492268,NA,0,0
"70","sp|P04147|PABP_YEAST","C2-C1",-0.0653586336006088,0.0622610438247816,-1.0497516518442,8,0.324506888775085,0.998854163492268,NA,0,0
"71","sp|P04161|PUR3_YEAST","C2-C1",-0.084863270247443,0.157880824390683,-0.537514739835947,8,0.605536773787139,0.998854163492268,NA,0,0
"72","sp|P04456|RL25_YEAST","C2-C1",-0.0254050478342649,0.0772942826551398,-0.328679521454561,8,0.750836519775352,0.998854163492268,NA,0,0
"73","sp|P04650|RL39_YEAST","C2-C1",0.18064270471578,0.109687875325689,1.6468794219909,8,0.138198471876231,0.998854163492268,NA,0,0
"74","sp|P04710|ADT1_YEAST","C2-C1",-0.0971187661167452,0.0392829332517368,-2.47228905984131,8,0.0385725483707362,0.998854163492268,NA,0,0
"75","sp|P04786|TOP1_YEAST","C2-C1",-0.155351732699856,0.0758022235054605,-2.0494350365417,8,0.0745735597138035,0.998854163492268,NA,0,0
"76","sp|P04801|SYTC_YEAST","C2-C1",0.00173623894613885,0.0510879303405958,0.0339853060118818,8,0.97372152169101,0.998854163492268,NA,0.00303030303030305,0
"77","sp|P04802|SYDC_YEAST","C2-C1",-0.0290724384634425,0.0328901209146645,-0.883926165515559,8,0.402518171136991,0.998854163492268,NA,0,0
"78","sp|P04803|SYWM_YEAST","C2-C1",-0.0968126900129718,0.881091676451374,-0.109878112119829,8,0.915212375581019,0.998854163492268,NA,0,0
"79","sp|P04806|HXKA_YEAST","C2-C1",0.00590906621371589,0.0991416791575412,0.0596022405907215,8,0.953934425149978,0.998854163492268,NA,0,0
"80","sp|P04807|HXKB_YEAST","C2-C1",0.0590470453771121,0.0478537947724645,1.23390518260609,8,0.252256138157214,0.998854163492268,NA,0,0
"81","sp|P04819|DNLI1_YEAST","C2-C1",0.150950427231836,0.0544576940899762,2.77188429944229,8,0.0242261116319087,0.998854163492268,NA,0,0
"82","sp|P04821|CDC25_YEAST","C2-C1",0.0346689050899029,0.10275424153289,0.337396340751596,8,0.744500002718414,0.998854163492268,NA,0,0
"83","sp|P04840|VDAC1_YEAST","C2-C1",-0.00167736782105086,0.0615275269299933,-0.027262071218292,8,0.978918505247503,0.998854163492268,NA,0,0
"84","sp|P05030|PMA1_YEAST","C2-C1",-0.00600713478281897,0.14720823268553,-0.0408070572768275,8,0.968449752368102,0.998854163492268,NA,0,0
"85","sp|P05066|PHR_YEAST","C2-C1",3.50871287033291,0.697984992347011,5.02691735324377,8,0.00101806506886692,0.342409218162242,NA,0,0
"86","sp|P05317|RLA0_YEAST","C2-C1",-0.00105918308173833,0.0483258264937099,-0.0219175368242526,8,0.983050546576038,0.998854163492268,NA,0,0
"87","sp|P05319|RLA2_YEAST","C2-C1",0.0411148957358872,0.140256683906012,0.293140366582735,8,0.776874978327392,0.998854163492268,NA,0,0
"88","sp|P05373|HEM2_YEAST","C2-C1",-0.0101628361548866,0.0496266955488382,-0.204785671149216,8,0.84285386095271,0.998854163492268,NA,0,0
"89","sp|P05374|CHO2_YEAST","C2-C1",0.00164833590111035,0.0519017583020331,0.031758768007784,8,0.975442475145055,0.998854163492268,NA,0,0
"90","sp|P05375|PEM2_YEAST","C2-C1",-0.156437687511346,0.24787495650659,-0.631115340234811,8,0.5455698602852,0.998854163492268,NA,0,0
"91","sp|P05453|ERF3_YEAST","C2-C1",-0.0137626027755087,0.0475588357171659,-0.289380565524257,8,0.7796479980916,0.998854163492268,NA,0,0
"92","sp|P05626|ATPF_YEAST","C2-C1",0.0682261877584217,0.0767574446615411,0.888854339266534,8,0.400017807979631,0.998854163492268,NA,0,0
"93","sp|P05694|METE_YEAST","C2-C1",0.0183054328343285,0.0429354747162124,0.42634751229189,8,0.681094852296525,0.998854163492268,NA,0,0
"94","sp|P05738|RL9A_YEAST","C2-C1",-0.0145946900163437,0.165344177245298,-0.0882685454032746,8,0.931832848982187,0.998854163492268,NA,0,0
"95","sp|P05739|RL6B_YEAST","C2-C1",0.0317694226665389,0.0709728901555406,0.447627574372618,8,0.666294637009008,0.998854163492268,NA,0,0
"96","sp|P05745|RL36A_YEAST","C2-C1",-0.388657423062532,0.300029670687242,-1.29539662584798,8,0.231310696485128,0.998854163492268,NA,0,0
"97","sp|P05748|RL15A_YEAST","C2-C1",-0.0368099250656951,0.150076289955846,-0.245274753770399,8,0.812418490720314,0.998854163492268,NA,0,0
"98","sp|P05749|RL22A_YEAST","C2-C1",0.245015973001766,0.269240393918127,0.910026795891081,8,0.389403025968861,0.998854163492268,NA,0,0
"99","sp|P05750|RS3_YEAST","C2-C1",-0.0165769862246745,0.0346544129138358,-0.47835137954555,8,0.645199223071654,0.998854163492268,NA,0,0
"100","sp|P05756|RS13_YEAST","C2-C1",-0.0826634762831826,0.0736857907750528,-1.12183740465698,8,0.294471931704435,0.998854163492268,NA,0,0
"101","sp|P05759|RS27A_YEAST","C2-C1",0.136712877692239,0.0767362093830653,1.78159540054645,8,0.112675853297031,0.998854163492268,NA,0,0
"102","sp|P05986|KAPC_YEAST","C2-C1",-0.00296897933942193,0.0875498190788889,-0.0339118843494886,8,0.973778269063165,0.998854163492268,NA,0,0
"103","sp|P06100|NOT2_YEAST","C2-C1",-0.0916836634183203,0.143961024337059,-0.636864483567855,8,0.542003690591838,0.998854163492268,NA,0,0
"104","sp|P06101|CDC37_YEAST","C2-C1",0.0247464424358317,0.051113287278744,0.484148912216858,8,0.641255819843069,0.998854163492268,NA,0,0
"105","sp|P06102|NOT3_YEAST","C2-C1",-0.0526272759339037,0.136898746761818,-0.384424818917201,8,0.710680801861429,0.998854163492268,NA,0,0
"106","sp|P06103|EIF3B_YEAST","C2-C1",0.0359822717090592,0.0833951377494957,0.431467261522411,8,0.677520312011726,0.998854163492268,NA,0,0
"107","sp|P06105|SC160_YEAST","C2-C1",0.00551494640492136,0.0282039252380427,0.1955382578267,8,0.849846782697054,0.998854163492268,NA,0,0
"108","sp|P06168|ILV5_YEAST","C2-C1",0.0382519396281113,0.0407928462937645,0.937711954509006,8,0.375834559274297,0.998854163492268,NA,0,0
"109","sp|P06169|PDC1_YEAST","C2-C1",0.0373809311525509,0.0475028996549127,0.786918933877861,8,0.45400778274867,0.998854163492268,NA,0,0
"110","sp|P06174|HEM4_YEAST","C2-C1",-0.0127977301994563,0.0696170459299855,-0.183830411481796,8,0.858720539751834,0.998854163492268,NA,0,0
"111","sp|P06197|PIS_YEAST","C2-C1",-0.0578130140019968,0.096531881897305,-0.598900724462214,8,0.56580771243092,0.998854163492268,NA,0,0
"112","sp|P06208|LEU1_YEAST","C2-C1",-0.0460138102479923,0.0768501405627751,-0.598747249009986,8,0.565905154901909,0.998854163492268,NA,0,0
"113","sp|P06242|KIN28_YEAST","C2-C1",-0.0593104019183899,0.207615421870741,-0.285674355902694,8,0.782384781541862,0.998854163492268,NA,0,0
"114","sp|P06244|KAPA_YEAST","C2-C1",0.314604013445401,0.271029553889104,1.16077383049572,8,0.279197559095046,0.998854163492268,NA,0,0
"115","sp|P06245|KAPB_YEAST","C2-C1",0.0575471404660687,0.133200568792953,0.432033744206602,8,0.677125332752784,0.998854163492268,NA,0,0
"116","sp|P06633|HIS7_YEAST","C2-C1",0.00625368098533656,0.074609219578897,0.0838191448809284,8,0.935259709209875,0.998854163492268,NA,0,0
"117","sp|P06634|DED1_YEAST","C2-C1",0.0223884969311486,0.0723130089532719,0.309605384359208,8,0.764771849711673,0.998854163492268,NA,0,0
"118","sp|P06701|SIR3_YEAST","C2-C1",0.253801245997649,0.403059800416925,0.629686328765899,8,0.546458428366214,0.998854163492268,NA,0,0
"119","sp|P06704|CDC31_YEAST","C2-C1",-0.118054121817519,0.173914185819606,-0.67880674173395,8,0.51641287997684,0.998854163492268,NA,0,0
"120","sp|P06738|PHSG_YEAST","C2-C1",0.0906114171318178,0.0473510169450251,1.91361079397763,8,0.0920176174614054,0.998854163492268,NA,0,0
"121","sp|P06773|DCTD_YEAST","C2-C1",0.263538326971239,0.763403787689128,0.345214853818039,8,0.738834034942385,0.998854163492268,NA,0,0
"122","sp|P06775|HIP1_YEAST","C2-C1",-0.0776224479922433,0.274545158487966,-0.282731075717169,8,0.784560495604163,0.998854163492268,NA,0,0
"123","sp|P06776|PDE2_YEAST","C2-C1",-0.250957015077275,0.308690683343073,-0.812972430393587,8,0.439755662715286,0.998854163492268,NA,0,0
"124","sp|P06779|RAD7_YEAST","C2-C1",1.11775026241084,1.42032980903719,0.7869652916519,8,0.453982149030125,0.998854163492268,NA,0,0
"125","sp|P06780|RHO1_YEAST","C2-C1",-0.000598035648859583,0.15656182740402,-0.00381980498551734,8,0.997045778385818,0.998854163492268,NA,0,0
"126","sp|P06781|RHO2_YEAST","C2-C1",0.155392414138669,0.129099100199945,1.20366767776074,8,0.263123060489947,0.998854163492268,NA,0,0
"127","sp|P06782|SNF1_YEAST","C2-C1",0.115796361194184,0.0626684410749257,1.84776195494857,8,0.101825753293207,0.998854163492268,NA,0,0
"128","sp|P06785|TYSY_YEAST","C2-C1",0.0315009063849261,0.130855762840182,0.240729989273756,8,0.81581898185122,0.998854163492268,NA,0,0
"129","sp|P06786|TOP2_YEAST","C2-C1",-0.00245415859963893,0.0504382340937408,-0.0486567113963152,8,0.962385690992806,0.998854163492268,NA,0,0
"130","sp|P06787|CALM_YEAST","C2-C1",-0.040427879849944,0.0511900094980731,-0.789761132032331,8,0.452437983500806,0.998854163492268,NA,0,0
"131","sp|P06839|RAD3_YEAST","C2-C1",0.136484444687711,0.233221958550609,0.585212668377854,8,0.574536107015752,0.998854163492268,NA,0,0
"132","sp|P06844|SPT3_YEAST","C2-C1",-0.166523568287086,0.341747550517061,-0.487270700360947,8,0.639137418772914,0.998854163492268,NA,0,0
"133","sp|P07143|CY1_YEAST","C2-C1",-0.0523707383978396,0.113307580226156,-0.462199777749294,8,0.656248178632662,0.998854163492268,NA,0,0
"134","sp|P07149|FAS1_YEAST","C2-C1",0.0158572129826855,0.0170309896030472,0.931079952033335,8,0.379052770083533,0.998854163492268,NA,0,0
"135","sp|P07170|KAD2_YEAST","C2-C1",0.0316116745414796,0.0491427140914702,0.643262691650288,8,0.538051316355899,0.998854163492268,NA,0,0
"136","sp|P07172|HIS8_YEAST","C2-C1",0.0739848986499172,0.121241031544884,0.610229867786366,8,0.558641488012607,0.998854163492268,NA,0,0
"137","sp|P07213|TOM70_YEAST","C2-C1",0.00886263859680763,0.0344483649796406,0.257273127535823,8,0.803461560769538,0.998854163492268,NA,0,0
"138","sp|P07244|PUR2_YEAST","C2-C1",-0.00200333872296983,0.0405268941409067,-0.0494323279747144,8,0.961786641617673,0.998854163492268,NA,0,0
"139","sp|P07245|C1TC_YEAST","C2-C1",-0.0354124534940021,0.0295824943395003,-1.19707463094879,8,0.26554317698226,0.998854163492268,NA,0,0
"140","sp|P07246|ADH3_YEAST","C2-C1",0.041536591051601,0.0588791560750912,0.705454932109209,8,0.500549003627395,0.998854163492268,NA,0,0
"141","sp|P07251|ATPA_YEAST","C2-C1",0.025383672142561,0.0652197895524117,0.389201994007697,8,0.707281735968879,0.998854163492268,NA,0,0
"142","sp|P07253|CBP6_YEAST","C2-C1",0.127770025038956,0.244026549924124,0.523590671091668,8,0.614753666161407,0.998854163492268,NA,0,0
"143","sp|P07256|QCR1_YEAST","C2-C1",-0.0924836928288458,0.0454784788966302,-2.03357049471807,8,0.0764326533288107,0.998854163492268,NA,0,0
"144","sp|P07257|QCR2_YEAST","C2-C1",0.00719999243742537,0.0549549968246689,0.131016156008462,8,0.898997331829604,0.998854163492268,NA,0,0
"145","sp|P07258|CARA_YEAST","C2-C1",-0.027819587142214,0.189166306936686,-0.14706417645255,8,0.88672004294507,0.998854163492268,NA,0,0
"146","sp|P07259|PYR1_YEAST","C2-C1",-0.00236541758466102,0.0457973324155374,-0.0516496804486045,8,0.960074207828908,0.998854163492268,NA,0,0
"147","sp|P07260|IF4E_YEAST","C2-C1",-0.0546238203080504,0.116511048295016,-0.468829532541309,8,0.651701801144513,0.998854163492268,NA,0,0
"148","sp|P07262|DHE4_YEAST","C2-C1",0.0453508462807551,0.0655774166695481,0.691561952025086,8,0.508780858083781,0.998854163492268,NA,0,0
"149","sp|P07263|SYH_YEAST","C2-C1",-0.0121515989204438,0.0400605895884796,-0.303330506247425,8,0.769376502634362,0.998854163492268,NA,0,0
"150","sp|P07264|LEUC_YEAST","C2-C1",-0.00646905310562039,0.0198205382037615,-0.326381304035059,8,0.752510543767582,0.998854163492268,NA,0,0
"151","sp|P07266|MRS1_YEAST","C2-C1",-0.312610280186192,0.261777848955388,-1.19418156056232,8,0.266610909853072,0.998854163492268,NA,0,0
"152","sp|P07267|CARP_YEAST","C2-C1",0.0783305888862419,0.0437836206094663,1.78903863581593,8,0.11140294309947,0.998854163492268,NA,0,0
"153","sp|P07269|PHO2_YEAST","C2-C1",-0.0864464574982548,0.706961662222234,-0.122278847804169,8,0.905694092955468,0.998854163492268,NA,0,0
"154","sp|P07270|PHO4_YEAST","C2-C1",-0.12583700587854,0.265457553743963,-0.474038143212575,8,0.648140804928819,0.998854163492268,NA,0,0
"155","sp|P07271|PIF1_YEAST","C2-C1",0.199994755577641,0.340176280190774,0.587915052353097,8,0.572806859060336,0.998854163492268,NA,0,0
"156","sp|P07273|TFS2_YEAST","C2-C1",-0.0905384648700377,0.132017178949209,-0.685808207618729,8,0.512214808671611,0.998854163492268,NA,0,0
"157","sp|P07274|PROF_YEAST","C2-C1",0.00227439828272604,0.257767606063659,0.00882344495283224,8,0.993176064562523,0.998854163492268,NA,0,0
"158","sp|P07275|PUT2_YEAST","C2-C1",-0.0447819308222718,0.047044863585368,-0.951898409504581,8,0.36901838981642,0.998854163492268,NA,0,0
"159","sp|P07276|RAD2_YEAST","C2-C1",-0.145995511706738,0.657008496087939,-0.222212517153198,8,0.829716368566729,0.998854163492268,NA,0,0
"160","sp|P07277|KIME_YEAST","C2-C1",0.0188118517841717,0.0353905151379173,0.531550662963273,8,0.609475569358118,0.998854163492268,NA,0,0
"161","sp|P07278|KAPR_YEAST","C2-C1",0.0647379619381142,0.0909699894830552,0.711640864267362,8,0.496911036842984,0.998854163492268,NA,0,0
"162","sp|P07283|PMM_YEAST","C2-C1",-0.0179487145452001,0.060784669129545,-0.295283577293932,8,0.775295784367805,0.998854163492268,NA,0,0
"163","sp|P07284|SYSC_YEAST","C2-C1",0.00385766000223204,0.0481360447047056,0.0801407765406809,8,0.938093820454462,0.998854163492268,NA,0,0
"164","sp|P07285|TRPD_YEAST","C2-C1",0.0351218345453906,0.0605455860271456,0.580089100626489,8,0.577822763821441,0.998854163492268,NA,0,0
"165","sp|P07342|ILVB_YEAST","C2-C1",0.0198433810827532,0.0399991403592377,0.496095188659983,8,0.633168323217795,0.998854163492268,NA,0,0
"166","sp|P07347|ARD1_YEAST","C2-C1",0.0443115922463166,0.101260287946727,0.437600891176895,8,0.673249316926636,0.998854163492268,NA,0,0
"167","sp|P07560|SEC4_YEAST","C2-C1",0.0653394648761672,0.0458093596139435,1.42633438726961,8,0.191607612758276,0.998854163492268,NA,0,0
"168","sp|P07702|LYS2_YEAST","C2-C1",0.0367037576906201,0.0597136163559562,0.614663119242803,8,0.555851660558084,0.998854163492268,NA,0,0
"169","sp|P07703|RPAC1_YEAST","C2-C1",-0.051118516050272,0.0476055710673017,-1.07379272854439,8,0.314233534341951,0.998854163492268,NA,0,0
"170","sp|P07806|SYV_YEAST","C2-C1",0.0651229682894675,0.0502614177064594,1.2956850654274,8,0.231216020126612,0.998854163492268,NA,0,0
"171","sp|P07807|DYR_YEAST","C2-C1",-0.10183516781894,0.100730920500883,-1.01096234713796,8,0.341630610046808,0.998854163492268,NA,0,0
"172","sp|P07834|CDC4_YEAST","C2-C1",-2.97997956663668,1.28205808637957,-2.32437172566175,8,0.048586710107231,0.998854163492268,NA,0,0
"173","sp|P07884|MOD5_YEAST","C2-C1",0.646431106777792,0.999119405644631,0.647000852076049,8,0.535750167203623,0.998854163492268,NA,0,0
"174","sp|P07991|OAT_YEAST","C2-C1",-0.042344311015718,0.0311835933601255,-1.35790351441228,8,0.21155120629183,0.998854163492268,NA,0,0
"175","sp|P08004|CHS1_YEAST","C2-C1",0.120154037349519,0.121664552697318,0.98758458964168,8,0.352280305489674,0.998854163492268,NA,0,0
"176","sp|P08018|PBS2_YEAST","C2-C1",0.0285723488937981,0.255508779065036,0.111825311828231,8,0.913716780861979,0.998854163492268,NA,0,0
"177","sp|P08067|UCRI_YEAST","C2-C1",0.00448847236928909,0.0605987678432006,0.0740687068242546,8,0.942774266794683,0.998854163492268,NA,0,0
"178","sp|P08417|FUMH_YEAST","C2-C1",-0.0340252695461151,0.0515061049195974,-0.660606535851033,8,0.527425021925406,0.998854163492268,NA,0,0
"179","sp|P08425|SYFM_YEAST","C2-C1",0.418248554289687,0.604343957114951,0.692070383703915,8,0.508478111163154,0.998854163492268,NA,0,0
